"Click to View More","Agency","Program","Data Category","Data Element Name","Data Element Definition","Data Type","Years Available"
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Occupational Skills Training Code #1 (PIRL Element 1306)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 

Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Occupational Skills Training Code #1 (PIRL Element 1306)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Occupational Skills Training Code #1 (PIRL Element 1306)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Occupational Skills Training Code #1 (PIRL Element 1306)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Training Completed #1 (PIRL Element 1307)","1 = Yes
0 = No (Withdrew)         
Leave blank if the participant did not receive a first training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Training Completed #1 (PIRL Element 1307)","2 = Yes
0 = No (Withdrew)         
Leave blank if the participant did not receive a first training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Training Completed #1 (PIRL Element 1307)","3 = Yes
0 = No (Withdrew)         
Leave blank if the participant did not receive a first training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Training Completed #1 (PIRL Element 1307)","4 = Yes
0 = No (Withdrew)         
Leave blank if the participant did not receive a first training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Date Completed, or Withdrew from, Training #1 (PIRL Element 1308)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a first training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Date Completed, or Withdrew from, Training #1 (PIRL Element 1308)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a first training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Date Completed, or Withdrew from, Training #1 (PIRL Element 1308)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a first training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Date Completed, or Withdrew from, Training #1 (PIRL Element 1308)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a first training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Date Entered Training #2 (PIRL Element 1309)","The date on which the participant's second training service actually began.  
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Date Entered Training #2 (PIRL Element 1309)","The date on which the participant's second training service actually began.  
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Date Entered Training #2 (PIRL Element 1309)","The date on which the participant's second training service actually began.  
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Date Entered Training #2 (PIRL Element 1309)","The date on which the participant's second training service actually began.  
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Type of Training Service #2  (WIOA) (PIRL Element 1310)","01 = On the Job Training (non-WIOA Youth)
02 = Skill Upgrading
03 = Entrepreneurial Training (non-WIOA Youth)
04 = ABE or ESL (contextualized or other) in conjunction with Training
05 = Customized Training
06 = Occupational Skills Training (non-WIOA Youth)
07 = ABE or ESL (contextualized or other) NOT in conjunction with training (funded by Trade Adjustment Assistance only)
08 = Prerequisite Training
09 = Registered Apprenticeship 
10 = Youth Occupational Skills Training                                                                                                            
11 = Other Non-Occupational-Skills Training   
12 = Job Readiness Training in conjunction with other training                                                   
00 = No Training Service
Leave blank if this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Type of Training Service #2  (WIOA) (PIRL Element 1310)","01 = On the Job Training (non-WIOA Youth)
02 = Skill Upgrading
03 = Entrepreneurial Training (non-WIOA Youth)
04 = ABE or ESL (contextualized or other) in conjunction with Training
05 = Customized Training
06 = Occupational Skills Training (non-WIOA Youth)
07 = ABE or ESL (contextualized or other) NOT in conjunction with training (funded by Trade Adjustment Assistance only)
08 = Prerequisite Training
09 = Registered Apprenticeship 
10 = Youth Occupational Skills Training                                                                                                            
11 = Other Non-Occupational-Skills Training   
12 = Job Readiness Training in conjunction with other training                                                   
00 = No Training Service
Leave blank if this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Type of Training Service #2  (WIOA) (PIRL Element 1310)","01 = On the Job Training (non-WIOA Youth)
02 = Skill Upgrading
03 = Entrepreneurial Training (non-WIOA Youth)
04 = ABE or ESL (contextualized or other) in conjunction with Training
05 = Customized Training
06 = Occupational Skills Training (non-WIOA Youth)
07 = ABE or ESL (contextualized or other) NOT in conjunction with training (funded by Trade Adjustment Assistance only)
08 = Prerequisite Training
09 = Registered Apprenticeship 
10 = Youth Occupational Skills Training                                                                                                            
11 = Other Non-Occupational-Skills Training   
12 = Job Readiness Training in conjunction with other training                                                   
00 = No Training Service
Leave blank if this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Type of Training Service #2  (WIOA) (PIRL Element 1310)","01 = On the Job Training (non-WIOA Youth)
02 = Skill Upgrading
03 = Entrepreneurial Training (non-WIOA Youth)
04 = ABE or ESL (contextualized or other) in conjunction with Training
05 = Customized Training
06 = Occupational Skills Training (non-WIOA Youth)
07 = ABE or ESL (contextualized or other) NOT in conjunction with training (funded by Trade Adjustment Assistance only)
08 = Prerequisite Training
09 = Registered Apprenticeship 
10 = Youth Occupational Skills Training                                                                                                            
11 = Other Non-Occupational-Skills Training   
12 = Job Readiness Training in conjunction with other training                                                   
00 = No Training Service
Leave blank if this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Occupational Skills Training Code #2 (PIRL Element 1311)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Occupational Skills Training Code #2 (PIRL Element 1311)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Occupational Skills Training Code #2 (PIRL Element 1311)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Occupational Skills Training Code #2 (PIRL Element 1311)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Training Completed #2 (PIRL Element 1312)","1 = Yes
0 = No (Withdrew)       
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Training Completed #2 (PIRL Element 1312)","2 = Yes
0 = No (Withdrew)       
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Training Completed #2 (PIRL Element 1312)","3 = Yes
0 = No (Withdrew)       
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Training Completed #2 (PIRL Element 1312)","4 = Yes
0 = No (Withdrew)       
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Date Completed, or Withdrew from, Training #2 (PIRL Element 1313)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Date Completed, or Withdrew from, Training #2 (PIRL Element 1313)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Date Completed, or Withdrew from, Training #2 (PIRL Element 1313)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Date Completed, or Withdrew from, Training #2 (PIRL Element 1313)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a second training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Date Entered Training #3 (PIRL Element 1314)","The date on which the participant's third training service actually began.  If the participant received more than 3 training services, record the date on which the participant actually began the last (or most recent) training service.  
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Date Entered Training #3 (PIRL Element 1314)","The date on which the participant's third training service actually began.  If the participant received more than 3 training services, record the date on which the participant actually began the last (or most recent) training service.  
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Date Entered Training #3 (PIRL Element 1314)","The date on which the participant's third training service actually began.  If the participant received more than 3 training services, record the date on which the participant actually began the last (or most recent) training service.  
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Date Entered Training #3 (PIRL Element 1314)","The date on which the participant's third training service actually began.  If the participant received more than 3 training services, record the date on which the participant actually began the last (or most recent) training service.  
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Type of Training Service #3 (WIOA)(PIRL Element 1315)","01 = On the Job Training (non-WIOA Youth)
02 = Skill Upgrading
03 = Entrepreneurial Training (non-WIOA Youth)
04 = ABE or ESL (contextualized or other) in conjunction with Training
05 = Customized Training
06 = Occupational Skills Training (non-WIOA Youth)
07 = ABE or ESL (contextualized or other) NOT in conjunction with training (funded by Trade Adjustment Assistance only)
08 = Prerequisite Training
09 = Registered Apprenticeship 
10 = Youth Occupational Skills Training                                                                                                            
11 = Other Non-Occupational-Skills Training   
12 = Job Readiness Training in conjunction with other training                                                   
00 = No Training Service

Leave blank if this data element does not apply to the participant.
Additional Note: If the participant receives more than three training services, record the last (or most recent) training services received by the participant in this field.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Type of Training Service #3 (WIOA)(PIRL Element 1315)","01 = On the Job Training (non-WIOA Youth)
02 = Skill Upgrading
03 = Entrepreneurial Training (non-WIOA Youth)
04 = ABE or ESL (contextualized or other) in conjunction with Training
05 = Customized Training
06 = Occupational Skills Training (non-WIOA Youth)
07 = ABE or ESL (contextualized or other) NOT in conjunction with training (funded by Trade Adjustment Assistance only)
08 = Prerequisite Training
09 = Registered Apprenticeship 
10 = Youth Occupational Skills Training                                                                                                            
11 = Other Non-Occupational-Skills Training   
12 = Job Readiness Training in conjunction with other training                                                   
00 = No Training Service

Leave blank if this data element does not apply to the participant.
Additional Note: If the participant receives more than three training services, record the last (or most recent) training services received by the participant in this field.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Type of Training Service #3 (WIOA)(PIRL Element 1315)","01 = On the Job Training (non-WIOA Youth)
02 = Skill Upgrading
03 = Entrepreneurial Training (non-WIOA Youth)
04 = ABE or ESL (contextualized or other) in conjunction with Training
05 = Customized Training
06 = Occupational Skills Training (non-WIOA Youth)
07 = ABE or ESL (contextualized or other) NOT in conjunction with training (funded by Trade Adjustment Assistance only)
08 = Prerequisite Training
09 = Registered Apprenticeship 
10 = Youth Occupational Skills Training                                                                                                            
11 = Other Non-Occupational-Skills Training   
12 = Job Readiness Training in conjunction with other training                                                   
00 = No Training Service

Leave blank if this data element does not apply to the participant.
Additional Note: If the participant receives more than three training services, record the last (or most recent) training services received by the participant in this field.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Type of Training Service #3 (WIOA)(PIRL Element 1315)","01 = On the Job Training (non-WIOA Youth)
02 = Skill Upgrading
03 = Entrepreneurial Training (non-WIOA Youth)
04 = ABE or ESL (contextualized or other) in conjunction with Training
05 = Customized Training
06 = Occupational Skills Training (non-WIOA Youth)
07 = ABE or ESL (contextualized or other) NOT in conjunction with training (funded by Trade Adjustment Assistance only)
08 = Prerequisite Training
09 = Registered Apprenticeship 
10 = Youth Occupational Skills Training                                                                                                            
11 = Other Non-Occupational-Skills Training   
12 = Job Readiness Training in conjunction with other training                                                   
00 = No Training Service

Leave blank if this data element does not apply to the participant.
Additional Note: If the participant receives more than three training services, record the last (or most recent) training services received by the participant in this field.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Occupational Skills Training Code #3 (PIRL Element 1316)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Occupational Skills Training Code #3 (PIRL Element 1316)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Occupational Skills Training Code #3 (PIRL Element 1316)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Occupational Skills Training Code #3 (PIRL Element 1316)","8 digit O*NET SOC 2019 taxonomy occupational code (database version 25.1 or later) that matches the training participant's employment goal. 
Note: If all 8 digits of the O*NET occupational code are not collected, record at least the first 6 digits.","Numeric",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Training Completed #3 (PIRL Element 1317)","1 = Yes
0 = No (Withdrew) 
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Training Completed #3 (PIRL Element 1317)","2 = Yes
0 = No (Withdrew) 
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Training Completed #3 (PIRL Element 1317)","3 = Yes
0 = No (Withdrew) 
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Training Completed #3 (PIRL Element 1317)","4 = Yes
0 = No (Withdrew) 
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Date Completed, or Withdrew from, Training #3 (PIRL Element 1318)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Date Completed, or Withdrew from, Training #3 (PIRL Element 1318)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Date Completed, or Withdrew from, Training #3 (PIRL Element 1318)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Date Completed, or Withdrew from, Training #3 (PIRL Element 1318)","The date when the participant completed training or withdrew permanently from training.  If multiple training services were received, record the most recent date on which the participant completed training.
Leave blank if the participant did not receive a third training service or this data element does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Established Individual Training Account (ITA) (PIRL Element 1319)","1 = Yes (if any of the individual's services were purchased utilizing an Individual Training Account funded by WIOA Title I.)
0 = No
Leave blank if this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Established Individual Training Account (ITA) (PIRL Element 1319)","2 = Yes (if any of the individual's services were purchased utilizing an Individual Training Account funded by WIOA Title I.)
0 = No
Leave blank if this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Established Individual Training Account (ITA) (PIRL Element 1319)","3 = Yes (if any of the individual's services were purchased utilizing an Individual Training Account funded by WIOA Title I.)
0 = No
Leave blank if this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Pell Grant Recipient (PIRL Element 1320)","1 = Yes ( participant is or has been notified s/he will be receiving a Pell Grant at any time during participation in the program) 
0 = No (participant does not meet the condition described above) 
Leave blank if this data element does not apply to the participant or if unavailable.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Pell Grant Recipient (PIRL Element 1320)","2 = Yes ( participant is or has been notified s/he will be receiving a Pell Grant at any time during participation in the program) 
0 = No (participant does not meet the condition described above) 
Leave blank if this data element does not apply to the participant or if unavailable.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Pell Grant Recipient (PIRL Element 1320)","3 = Yes ( participant is or has been notified s/he will be receiving a Pell Grant at any time during participation in the program) 
0 = No (participant does not meet the condition described above) 
Leave blank if this data element does not apply to the participant or if unavailable.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Pell Grant Recipient (PIRL Element 1320)","4 = Yes ( participant is or has been notified s/he will be receiving a Pell Grant at any time during participation in the program) 
0 = No (participant does not meet the condition described above) 
Leave blank if this data element does not apply to the participant or if unavailable.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Waiver from Training Requirement (PIRL Element 1321)","Reason for which a waiver from the training requirements was issued to the participant.  
1 = Recall
2 = Marketable Skills
3 = Retirement
4 = Health
5 = Enrollment Unavailable
6 = Training Not Available
0 = No
Leave blank if this data element does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Date of Most Recent Case Management and Employment Service (PIRL Element 1322)","The date on which the participant received his or her most recent Case Management and Reemployment Service. 
Leave blank if this does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Date Waiver From Training Requirement Issued (PIRL Element 1323)","The date on which the participant received his or her most recent waiver from training. 
Leave blank if this does not apply to the participant.","YYYYMMDD",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Current Quarter Training Expenditures (PIRL Element 1324)","Dollar amount of training expenditures accrued in the current report quarter for the participant. 
Leave blank if this does not apply to the participant.","Numeric",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Total Training  Expenditures (PIRL Element 1325)","Dollar amount of training expenditures accrued thus far in participant's training.  

Accrued expenditures are defined as the sum of actual cash disbursements for direct charges for goods and services; the amount of indirect expenses charged to the award; minus any rebates, refunds, or other credits; plus the total costs of all goods and property received or services performed, whether an invoice has been received or a cash payment has occurred.  Accrued expenditures are to be recorded in the reporting quarter in which they occur, regardless of when the related cash receipts and disbursements take place.  This item includes: (1) Tuition: facility and training costs, books and laboratory fees, and/or equipment expenses approved by the State agency; (2) Travel allowances (3) Subsistence allowances. 
Leave blank if this does not apply to the participant.","Numeric",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Training Costs-Amount of Overpayment (PIRL Element 1326)","Record the amount of the Training Cost Overpayment.  
This amount may be updated on a cumulative basis. 
Leave blank if this does not apply to the participant.","Numeric",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Training Costs - Overpayment Waiver (PIRL Element 1327)","1 = Yes (if there was a TAA Training overpayment waiver to be recorded in the quarter it is issued and continues through last quarter of reporting)
0 = No                   
Leave blank if this does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Training Povided Virtual/Online  (PIRL Element 1328)","1 = Virtual/Online Yes 
2 = Mix of In-person and Virtual/Online
0 = No Virtual/Online, In-person Only       
Leave blank if the participant did not received training at any point during program participation.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Training Povided Virtual/Online  (PIRL Element 1328)","2 = Virtual/Online Yes 
2 = Mix of In-person and Virtual/Online
0 = No Virtual/Online, In-person Only       
Leave blank if the participant did not received training at any point during program participation.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Training Povided Virtual/Online  (PIRL Element 1328)","3 = Virtual/Online Yes 
2 = Mix of In-person and Virtual/Online
0 = No Virtual/Online, In-person Only       
Leave blank if the participant did not received training at any point during program participation.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Training Povided Virtual/Online  (PIRL Element 1328)","4 = Virtual/Online Yes 
2 = Mix of In-person and Virtual/Online
0 = No Virtual/Online, In-person Only       
Leave blank if the participant did not received training at any point during program participation.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Part Time Training (PIRL Element 1329)","1 = Yes 
0 = No                
Leave blank if the individual was not a TAA participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Adversely Affected Incumbent Worker (PIRL Element 1330)","1 = Yes (participant received services prior to his or her separation date from qualifying trade affected employment) 
0 = No (participant did not receive any services under the condition described above)     
Leave blank if this does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Training Leading to an Associate's Degree (PIRL Element 1331)","1 = Yes (if the participant is enrolled in training that will lead to an associate’s degree).
0 = No (if the participant did not receive any services under the condition described above).
Leave blank if this does not apply to the participant.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Participated in Postsecondary Education During Program Participation (WIOA) (PIRL Element 1332)","1 = Yes, Participated in Postsecondary Education  
0 = No, Did Not Participate in Postsecondary Education

Leave blank if the participant was not in a postsecondary education program, as defined in program specific guidance.
Note: This data element relates to the credential indicator denominator and those who are recorded as 1 are included in the credential rate denominator.  This element is a subset of PIRL 1811.  Do not record 1 if the participant was first enrolled in postsecondary education after exiting the program.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Participated in Postsecondary Education During Program Participation (WIOA) (PIRL Element 1332)","2 = Yes, Participated in Postsecondary Education  
0 = No, Did Not Participate in Postsecondary Education

Leave blank if the participant was not in a postsecondary education program, as defined in program specific guidance.
Note: This data element relates to the credential indicator denominator and those who are recorded as 1 are included in the credential rate denominator.  This element is a subset of PIRL 1811.  Do not record 1 if the participant was first enrolled in postsecondary education after exiting the program.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Youth","Activity Data","Participated in Postsecondary Education During Program Participation (WIOA) (PIRL Element 1332)","3 = Yes, Participated in Postsecondary Education  
0 = No, Did Not Participate in Postsecondary Education

Leave blank if the participant was not in a postsecondary education program, as defined in program specific guidance.
Note: This data element relates to the credential indicator denominator and those who are recorded as 1 are included in the credential rate denominator.  This element is a subset of PIRL 1811.  Do not record 1 if the participant was first enrolled in postsecondary education after exiting the program.","Integer",NA
"&oplus;","Department of Labor (DOL)","Trade Adjustment Assistance (TAA)","Activity Data","Participated in Postsecondary Education During Program Participation (WIOA) (PIRL Element 1332)","4 = Yes, Participated in Postsecondary Education  
0 = No, Did Not Participate in Postsecondary Education

Leave blank if the participant was not in a postsecondary education program, as defined in program specific guidance.
Note: This data element relates to the credential indicator denominator and those who are recorded as 1 are included in the credential rate denominator.  This element is a subset of PIRL 1811.  Do not record 1 if the participant was first enrolled in postsecondary education after exiting the program.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Adult","Activity Data","Received training from program(s) operated by the private sector (PIRL Element 1333)","1 = Yes (received training services from one or more programs operated by the private sector under WIOA sec. 134 (c)(3)(D)(v)). 
0 = No ( did not receive training services from a program operated by the private sector under WIOA sec. 134 (c)(3)(D)(v)).
Leave blank if the participant did not receive training.","Integer",NA
"&oplus;","Department of Labor (DOL)","WIOA Dislocated Workers","Activity Data","Received training from program(s) operated by the private sector (PIRL Element 1333)","2 = Yes (received training services from one or more programs operated by the private sector under WIOA sec. 134 (c)(3)(D)(v)). 
0 = No ( did not receive training services from a program operated by the private sector under WIOA sec. 134 (c)(3)(D)(v)).
Leave blank if the participant did not receive training.","Integer",NA
